OBJECTID,Dzongkhag,Area_Ha,POP_2005,AreaSqKM,Safe_Wet_,Unsafe_Wet_,Safe_Dry_,Unsafe_Dry_,TotalUnsafe,TotalSafe,Diff,Shape__Area,Shape__Length
1,Bumthang,271733.1983,2999,0,40,2,42,0,2,82,80,3479132608.0321,318848.3747
2,Chhukha,187976.9265,234324,0,14,5,23,11,16,37,21,2376526738.3490,297483.6485
3,Dagana,172282.9928,34324,0,11,13,19,5,18,30,12,2178652332.8503,268447.7334
4,Gasa,313445.3168,3423,0,14,5,19,0,5,33,28,4035633465.3358,402264.4020
5,Haa,190487.3309,3432,0,3,14,4,0,14,7,-7,2421884496.0457,253969.5889
6,Lhuentse,285870.0908,3432,0,30,16,65,1,17,95,78,3664114637.7402,345314.3991
7,Mongar,194426.3399,3423,0,80,45,69,23,68,149,81,2469382330.1714,279201.5302
8,Paro,128712.7368,34,0,22,2,0,0,2,22,20,1641950682.6412,259531.8804
9,Pemagatshel,102210.4866,34,0,57,16,51,2,18,108,90,1290987820.8395,220574.6310
10,Punakha,110956.8569,34,0,18,0,1,8,8,19,11,1419879948.0984,188142.6041
11,Samdrup Jongkhar,187706.5162,3342,0,6,0,34,0,0,40,40,2370705713.0582,262082.0250
12,Samtse,130484.6258,576768,0,5,3,30,14,17,35,18,1650477125.2042,283023.4262
13,Sarpang,165537.5955,6785,0,49,10,23,10,20,72,52,2091987859.3556,321956.8915
14,Thimphu,179586.8124,674,0,112,85,65,11,96,177,81,2295380095.8698,362785.2973
15,Trashigang,220396.1507,67547,0,64,55,70,15,70,134,64,2798576936.5439,318595.1787
16,Trongsa,181370.8805,566,0,24,15,3,7,22,27,5,2310622596.2105,282398.5839
17,Tsirang,63783.4209,675,0,31,2,35,18,20,66,46,806953629.5515,169439.6322
18,Wangduephodrang,403564.6549,567,0,18,6,25,6,12,43,31,5153141635.7325,474489.4051
19,Trashiyangtse,144905.2007,8867,0,65,12,7,2,14,72,58,1853462971.0723,260946.5603
20,Zhemgang,241658.0636,885,0,23,3,50,31,34,73,39,3058549661.7603,326482.4756
